location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"albuquerque, nm",accident,2013-04-28,united states,non-fatal,airplane,cessna,195b,1.0,reciprocating,0.0,0.0,2.0,0.0,035843N,1064743W,no,albuquerque,nm
"hoosick falls, ny",accident,2013-04-28,united states,non-fatal,airplane,aeronca,11ac,1.0,reciprocating,0.0,1.0,0.0,1.0,425326N,0732010W,no,hoosick falls,ny
"seward, ak",accident,2013-04-28,united states,non-fatal,airplane,bellanca,8gcbc,1.0,reciprocating,0.0,0.0,0.0,0.0,060737N,0149258W,no,seward,ak
"new orleans, la",accident,2013-04-28,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,030219N,0090125W,no,new orleans,la
"bryce, ut",accident,2013-04-29,united states,non-fatal,airplane,piper,pa46-500tp,1.0,turbo prop,0.0,0.0,0.0,0.0,374223N,0112845W,no,bryce,ut
"calabasas, ca",accident,2013-04-29,united states,fatal,airplane,cessna,172rg,1.0,reciprocating,2.0,1.0,2.0,1.0,034729N,1184718W,no,calabasas,ca
"lakeport, ca",accident,2013-04-29,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,385915N,0122542W,no,lakeport,ca
"covington, la",accident,2013-05-01,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,1.0,0.0,302642N,0895920W,no,covington,la
"ingalls, in",accident,2013-05-01,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,395712N,0854712W,no,ingalls,in
"saint louis, mo",accident,2013-05-01,united states,non-fatal,airplane,cessna,p210n,1.0,reciprocating,0.0,0.0,0.0,0.0,383944N,0090397W,no,saint louis,mo
"newark, nj",accident,2013-05-01,united states,non-fatal,airplane,airbus,a330,2.0,turbo fan,0.0,0.0,0.0,0.0,404159N,0074957W,no,newark,nj
"oakland, ca",accident,2013-05-01,united states,non-fatal,airplane,cessna,421a,2.0,reciprocating,0.0,0.0,0.0,0.0,374337N,1221242W,no,oakland,ca
"lawrence, ks",accident,2013-05-01,united states,non-fatal,airplane,mason robert,kolb mark 3x,1.0,reciprocating,0.0,1.0,0.0,1.0,385519N,0951127W,no,lawrence,ks
"hamilton, mt",accident,2013-05-01,united states,non-fatal,helicopter,schweizer,300c,1.0,reciprocating,0.0,0.0,0.0,0.0,046155N,0114732W,no,hamilton,mt
"catskill, ny",accident,2013-05-02,united states,fatal,airplane,grumman,g-44,2.0,reciprocating,1.0,0.0,0.0,0.0,042812N,0735416W,no,catskill,ny
"pomeroy, wa",accident,2013-05-02,united states,non-fatal,helicopter,robinson,r44 ii,1.0,reciprocating,0.0,0.0,0.0,0.0,462911N,1172517W,no,pomeroy,wa
"brogue, pa",accident,2013-05-02,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,2.0,0.0,2.0,039515N,0076296W,no,brogue,pa
"delta, co",accident,2013-05-02,united states,non-fatal,airplane,cessna,182t,1.0,reciprocating,0.0,0.0,0.0,0.0,384546N,0108557W,no,delta,co
"suffolk, va",accident,2013-05-04,united states,fatal,airplane,"newgent, barry",s6s,1.0,reciprocating,2.0,0.0,0.0,0.0,364135N,0763636W,no,suffolk,va
"fontana, ca",accident,2013-05-04,united states,non-fatal,airplane,rans,s-17,1.0,reciprocating,0.0,0.0,1.0,0.0,034917N,1172724W,no,fontana,ca
"arcadia, ny",accident,2013-05-04,united states,non-fatal,airplane,cessna,182g,1.0,reciprocating,0.0,0.0,0.0,0.0,043739N,0077247W,no,arcadia,ny
"newtok, ak",accident,2013-05-04,united states,non-fatal,airplane,cessna,207a,1.0,reciprocating,0.0,0.0,4.0,0.0,605621N,1643829W,no,newtok,ak
"mena, ar",incident,2013-05-04,united states,non-fatal,airplane,beech,58,2.0,reciprocating,0.0,0.0,0.0,0.0,343226N,0094125W,no,mena,ar
"udall, ks",accident,2013-05-05,united states,non-fatal,airplane,air tractor inc,at-602,1.0,turbo prop,0.0,0.0,0.0,0.0,372245N,0097639W,no,udall,ks
"lamar, mo",accident,2013-05-05,united states,fatal,airplane,piper,pa-25-235,1.0,reciprocating,1.0,0.0,0.0,0.0,372949N,0941842W,no,lamar,mo
"soldotna, ak",accident,2013-05-05,united states,non-fatal,airplane,piper,pa-11,1.0,reciprocating,0.0,0.0,0.0,0.0,602829N,0151217W,no,soldotna,ak
"juneau, ak",accident,2013-05-06,united states,non-fatal,airplane,maule,m-5-210c,1.0,reciprocating,0.0,0.0,0.0,0.0,582118N,1343435W,no,juneau,ak
"staples, mn",accident,2013-05-06,united states,non-fatal,airplane,cirrus design corporation,sr20,1.0,reciprocating,0.0,0.0,0.0,0.0,462251N,0944824W,no,staples,mn
"lyons, ks",accident,2013-05-07,united states,non-fatal,airplane,cessna,a188b,1.0,reciprocating,0.0,0.0,1.0,0.0,362031N,0981318W,no,lyons,ks
"cottonwood, az",accident,2013-05-07,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,1.0,0.0,1.0,344348N,0011226W,no,cottonwood,az
"glenwood springs, co",accident,2013-05-07,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,393022N,1071832W,no,glenwood springs,co
"palmer, ak",accident,2013-05-07,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,061570N,0149130W,no,palmer,ak
"lyons, ks",accident,2013-05-08,united states,non-fatal,airplane,air tractor inc,at-301,1.0,reciprocating,0.0,0.0,0.0,0.0,381942N,0981235W,no,lyons,ks
"bakersfield, ca",accident,2013-05-08,united states,non-fatal,airplane,cessna,310r,2.0,reciprocating,0.0,0.0,0.0,0.0,351929N,1185945W,no,bakersfield,ca
"honolulu, hi",accident,2013-05-09,united states,non-fatal,helicopter,robinson helicopter,r22 beta,1.0,reciprocating,0.0,0.0,1.0,0.0,211840N,1575133W,no,honolulu,hi
